Tag,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
belly,253,177,536,998,1078,1481,2338,3010,5534,8769,11390,14561,19149,30703,38305,45584,47479,56501
anal_penetration,1037,825,2287,3999,5009,7620,13278,13715,19254,22586,25184,26540,27682,33521,41825,50302,53099,56350
animal_penis,513,349,947,2656,2435,4573,9263,12477,17624,24159,25470,27352,26712,33552,40914,49612,52799,55625
wings,1048,710,2268,4059,10398,14034,23098,23430,25486,31713,32790,34167,30075,34962,40060,49809,53255,55508
ambiguous_gender,731,442,1766,3768,4744,5432,8204,10640,13596,19270,21422,27064,25778,31708,32942,42955,50444,55456
eyewear,864,614,1348,2934,4413,5646,8196,8773,12709,18782,19716,21212,21706,30786,36890,46034,50401,55134
paws,965,661,2082,3395,4658,7468,10960,11571,11871,14500,15698,15979,16397,21848,32155,42461,46812,54204
pawpads,398,242,799,1127,1790,2181,5317,6031,7165,11524,13004,14225,17098,24461,31375,44060,47078,53727
legwear,647,666,1626,2126,3509,4569,7515,9879,14191,17206,20792,23455,23558,31262,36083,48173,52059,53653
footwear,658,525,1557,2353,3700,4279,6064,6736,9798,12869,15945,18291,18890,27011,32087,42034,48367,53370
sitting,768,823,1620,2559,3941,5258,9885,10229,13261,19899,21790,22195,22684,33240,39227,48335,49128,53175
ear_piercing,1464,735,1577,2787,3347,4600,6564,6680,9146,13057,13622,14308,14001,22849,31250,42484,48302,52866
eyes_closed,1214,1075,3533,5552,6643,9477,15657,16313,20324,25962,25257,24588,24683,34508,39746,47222,47991,51900
monochrome,3062,2090,5122,8335,10306,12565,16034,18018,27055,34954,34389,33110,28784,36535,39226,47240,50106,51310
5_fingers,779,345,654,1225,1590,1633,2572,3114,4025,11880,19986,22434,27692,37343,39249,41899,43607,50684
collar,1367,939,2061,3271,3819,4860,7149,7731,10999,15410,16480,18150,17831,23267,30179,40735,44005,49392
jewelry,903,647,1647,2479,3353,4318,6158,6239,8648,12830,13394,15519,15243,21479,28481,38367,45027,49154
oral,921,714,2510,4115,5670,7693,11497,12907,17776,21084,22454,23287,22645,27839,34297,42690,45173,49034
green_eyes,779,687,2216,3367,5555,9051,15273,14327,17369,23730,24339,23766,24074,31566,35988,44744,47276,48781
